55255
4
engrpm,800,1800,100,10;EGRkgph,0,200,20,11;MSPhum,40,80,4,12;EngTq,0,1400,140,13
Iteration,Year,Month,Day,Latitude,Longitude,RelativeError,NOxTheoryppm,AbsError,pass,engrpm,EGRkgph,MSPhum,EngTq
3522059324,2015,8,10,44.9466,-93.1145,50.1739,189.832,53.04,1,5,1,6,1
3522059340,2015,8,10,44.9466,-93.116,50.2614,590.234,287.399,1,0,2,6,5
3522059341,2015,8,10,44.9466,-93.116,12.2611,561.747,296.324,1,1,0,6,5
3522059342,2015,8,10,44.9466,-93.116,28.0926,623.466,33.1461,1,6,3,6,6
3522059343,2015,8,10,44.9466,-93.1161,20.5826,622.102,62.698,1,6,3,6,7
3522059344,2015,8,10,44.9466,-93.1161,30.7208,765.754,378.093,1,4,3,6,8
3522059345,2015,8,10,44.9466,-93.1162,7.89674,749.274,262.963,1,3,3,6,8
3522059346,2015,8,10,44.9466,-93.1162,5.39102,648.3,115.671,1,3,4,6,7
3522059347,2015,8,10,44.9466,-93.1163,3.66368,639.637,83.837,1,3,2,6,7
3522059348,2015,8,10,44.9466,-93.1164,18.6248,624.555,14.4162,1,3,3,6,6
3522059349,2015,8,10,44.9466,-93.1165,10.9972,499.692,0.922844,1,4,3,6,4
3522059350,2015,8,10,44.9466,-93.1166,8.95439,329.318,61.0036,1,4,2,6,2
3522059351,2015,8,10,44.9466,-93.1168,4.1728,337.617,65.4445,1,4,2,6,2
3522059352,2015,8,10,44.9466,-93.1169,12.6176,304.459,44.8817,1,4,2,6,1
3522059360,2015,8,10,44.9466,-93.1176,40.7083,327.723,0.721052,1,3,3,6,2
3522059361,2015,8,10,44.9466,-93.1177,43.0117,347.232,20.035,1,3,3,6,2
3522059362,2015,8,10,44.9466,-93.1178,9.36389,550.54,250.519,1,3,2,6,3
3522059363,2015,8,10,44.9466,-93.1178,17.7756,429.838,70.4118,1,3,1,6,2
3522059364,2015,8,10,44.9466,-93.1179,25.0143,287.031,62.2328,1,3,2,6,1
3522059386,2015,8,10,44.9467,-93.1184,75.5185,514.098,330.658,1,0,2,6,4
3522059387,2015,8,10,44.9467,-93.1184,8.9062,629.797,159.767,1,3,2,6,5
3522059388,2015,8,10,44.9467,-93.1184,10.6199,636.262,92.9938,1,5,2,6,6
3522059390,2015,8,10,44.9466,-93.1184,12.7926,753.53,331.827,1,9,3,6,9
3522059391,2015,8,10,44.9466,-93.1185,50.5285,656.116,332.623,1,3,4,6,7
3522059392,2015,8,10,44.9466,-93.1186,33.1407,848.314,94.9819,1,2,4,6,8
3522059393,2015,8,10,44.9466,-93.1187,21.0971,646.031,41.3017,1,3,2,6,7
